Fecha y hora,Departamento,Jurisdiccion,Tipo de siniestro,Vehiculo,Rol,Edad,Sexo,Dias Fallecidos,Otro vehiculo,Lugar del Siniestro,Latitud,Longitud
1/1/2013 23:15:00,CANELONES,NACIONAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,34,F,0,,RUTA 101 km 24,-34.789378,-56.0013672
1/1/2013 23:35:00,SALTO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,52,F,0,MOTO,MAGALLANES pr«x. Barrio Chinchurreta,-31.3905792,-57.9357185
1/3/2013 23:35:00,PAYSANDU,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,34,M,8,CAMION,RUTA 3 km. 358,-32.4795046,-57.9288169
1/4/2013 7:10:00,COLONIA,NACIONAL,DESPISTE,AUTO,CONDUCTOR,49,F,1,,RUTA 21 esq. Dr Irastorza,-33.9805412,-58.2907486
1/4/2013 11:00:00,CANELONES,DEPARTAMENTAL,DESPISTE,AUTO,CONDUCTOR,91,M,0,,CESAR MAYO GUTIERREZ senda CAMINO PELUFFO,-34.516667,-56.283333
1/5/2013 0:20:00,RIVERA,DEPARTAMENTAL,DESPISTE,CAMIONETA,CONDUCTOR,56,M,0,,CAMINO VECINAL PASO DEL CERRO,-31.4747791,-55.1549606
1/6/2013 14:10:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,63,M,1,MOTO,AVENIDA LEZICA esq. GUANAHANY,-34.796354,-56.2480662
1/6/2013 15:30:00,RIVERA,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,45,M,0,MOTO,RUTA 27 km 113,-30.9510806,-55.5393908
1/6/2013 18:21:00,FLORIDA,NACIONAL,DESPISTE,AUTO,PASAJERO,34,F,1,,RUTA 7 km. 145,-33.7705423,-55.965288
1/6/2013 20:50:00,MALDONADO,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,20,M,1,,CONT. AGUSTONI ROSSI,-34.6277617,-54.9611836
1/8/2013 19:26:00,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,25,M,0,AUTO,AVENIDA JOSE BELLONI esq. MONTE CARLO,-34.84263,-56.1329433
1/8/2013 20:10:00,MALDONADO,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,19,M,0,,CERRO EGUZQUIZA. LA BARRA,-34.9111083,-54.8652533
1/9/2013 5:45:00,ROCHA,NACIONAL,DESPISTE,CAMIONETA,CONDUCTOR,50,M,0,,RUTA 14 km. 490,-34.4878288,-54.319523
1/9/2013 15:05:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,44,M,0,AUTO,CAMINO ARIEL esq. BELL,-34.8358002,-56.2128711
1/9/2013 22:30:00,CERRO LARGO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,20,M,1,CAMIONETA,JOSE ENRIQUE RODO esq. TREINTA Y TRES,-32.3669701,-54.1660881
1/9/2013 22:55:00,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,40,M,0,AUTO,AVENIDA DON PEDRO DE MENDOZA esq. CAMINO CARLOS LINNEO,-34.7855539,-56.1530082
1/10/2013 2:10:00,CANELONES,NACIONAL,DESPISTE,AUTO,CONDUCTOR,54,M,4,,RUTA 5 km 52,-34.4626926,-56.2733674
1/10/2013 21:10:00,PAYSANDU,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,18,M,1,MOTO,DOCTOR FLORENTINO FELIPPONE esq. ANDRESITO,-32.3025109,-58.0753747
1/11/2013 14:00:00,MALDONADO,NACIONAL,DESPISTE,CAMIONETA,PASAJERO,22,M,1,,RUTA 9 km. 157.5,-34.7336343,-54.9965384
1/13/2013 22:30:00,ROCHA,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,58,M,0,AUTO,RUTA 9 km. 263.800,-34.4878288,-54.319523
1/14/2013 1:10:00,SALTO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,29,F,0,CAMION,CAMINO DEPARTAMENTAL a RIVERA Y RUTA 31 KM 13,-31.3049793,-57.7194214
1/14/2013 2:50:00,CANELONES,NACIONAL,DESPISTE,AUTO,CONDUCTOR,28,M,0,,RUTA 11 km. 165,-34.5214738,-56.2999351
1/15/2013 16:40:00,MALDONADO,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,19,F,0,CAMIONETA,RUTA 93 km. 110,-34.9119265,-54.9900793
1/16/2013 14:30:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,20,M,1,AUTO,COLORADO esq. QUIJOTE,-34.8762561,-56.1655969
1/17/2013 8:00:00,CERRO LARGO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,22,M,0,MOTO,BOLIVIA casi Batalla de las Piedras Barrio Berbat Rivero,-31.9625702,-54.1271515
1/18/2013 14:00:00,CANELONES,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,36,M,1,CAMION,RUTA 75 esq. PELUFFO,-34.516667,-56.283333
